no,cnName,enName,baituTier,enTier,chenTier,jpName,comment_jpwiki_cn,effect,baituDesc,enDesc,chenDesc
A169,,Off-Siter,,,,外働き,,"Once the total printed building cost of all the major improvements you have is at least 9 building resources, this card provides room for 1 person for the rest of the game.",,,
A170,,Hayward,,,,干し草管理人,,"You can build fences at any time without placing a person. (This is not considered a ""Build Fences"" action.)",,,
A171,,Sidekick,,,,下働き,,"Immediately after each time you place a person on an action space card, you can pay 1 food to place another person on the card immediately left to it (and so on).",,,
A172,,Boat Painter,,,,ボート塗装工,,"At the end of each work phase, if both the ""Fishing"" and ""Traveling Players"" accumulation spaces are occupied, you get your choice of 1 grain or 2 food.",,,
A173,,Clay Thief,,,,レンガ泥棒,,"Once this game, at the start of a work phase of your choice, you can turn this card face down to get all of the clay on the ""Hollow"" action space.",,,
A174,,Master Hora,,,,マイスター・ホラ,,"Immediately before each time you place a person on an action space with the (meeple) symbol on the game board extension, you can buy 1 vegetable for 1 food.",,,
A175,,Hollow Gardener,,,,窪地の庭師,,"Each time you take at least 3 clay from the ""Hollow"" accumulation space, you also get 1 grain. If you take at least 6 clay from it, you also get 1 vegetable (instead of grain).",,,
A176,,Wheelmaker,,,,車輪工,,"When you play this card, if you have another occupation in play and more wood than all other players combined, you immediately get wood from the general supply until you have 15 wood.",,,
A177,,Middleman,,,,仲介商,,"Place 1 stone and 1 food on all action spaces with the (meeple) symbol on the game board extension. Next time you place a person on them, you get the goods.",,,
A178,,Carpenter's Boy,,,,青年大工,,"Each time another player builds a room, you immediately get 1 wood.",,,
A179,,Mountain Shepherd,,,,山の羊飼い,,"Each time you use either ""Quarry"" accumulation space, you immediately get an additional 1 sheep from the general supply.",,,
A180,,Animal Brander,,,,焼印押し,,"Each time you use the ""Animal Market"" action space, you can pay 1 food to use the same option twice (instead of once).",,,
B169,,Livestock Sustainer,,,,育畜家,,"For each major improvement built by the other players, you can keep 1 animal on this card (max. 8). You can keep different types here.",,,
B170,,Corral Builder,,,,檻作りの女,,"When the ""Pig Market"" and ""Cattle Market"" action space cards are each revealed (and placed on the round space), you can immediately fence exactly 1 farmyard space without playing wood.",,,
B171,,Greenhouse Builder,,,,温室作り,,"This is an action space for you only. It provides a choice of ""Fencing"", ""House Redevelopment"", or ""Vegetable Seeds"" if the corresponding action space is already in play.",,,
B172,,Cattle Caregiver,,,,牛の世話人,,"At the start of each round, if 3/4/5+ players each have at least 1 cattle, you get 1/2/3 food.",,,
B173,,Sweeper,,,,道路清掃人,,"Each time you use an action space with the (meeple) symbol, place 1 food on this card. Once this game, you can turn this card face down to get the food on it.",,,
B174,,Riverbank Gardener,,,,岸辺の庭師,,"Each time you use the ""Riverbank Forest"" accumulation space, you also get 1 vegetable.",,,
B175,,Field Overseer,,,,畑見張り,,"Each time the other players harvest grain from at least 3/4/6 fields combined, you get 1 food/grain/vegetable.",,,
B176,,Village Idiot,,,,村のとんま,,"The Village Idiot is your lone occupation. Each time another player uses the ""Meeting Place"" action space, you get 1 wood and 1 food.",,,
B177,,Stone Clawer,,,,石拾い,,"Each time you plow at least 1 field, you also get 1 stone.",,,
B178,,Tag-Along,,,,道連れ,,"Immediately after each time another player uses the ""Resource Market"" action space, you can also place a person there to take the action as well.",,,
B179,,Wild Boar Hunter,,,,猪狩人,,"In the returning home phase of each round, if at least 3 wood accumulation spaces are occupied, you can pay 1 wood to get 1 wild boar.",,,
B180,,Game Teaser,,,,獲物呼び,,"Each time you take 1/2/3 food from a food accumulation space, you also get 1 cattle/wild boar/sheep.",,,
C169,,Fast Mason,,,,突貫壁職人,,"Immediately after each time you use a clay/stone accumulation space, you can renovate your house to clay/stone without paying reed.",,,
C170,,Amateur Fencer,,,,趣味の柵作り,,"When you play this card, if you have no pastures yet, you can immediately fence exactly 1 space in your farmyard without paying wood for the fences.",,,
C171,,Young Artist,,,,若手芸術家,,"In the returning home phase of each round, you can pay 1 food to either take a ""Minor Improvement"" action or to draw 2 new minor improvements.",,,
C172,,Field Counter,,,,畑調査人,,"Each time another player plows a field, place 1 food on this card. Once this game, you can turn this card face down to get the food on it.",,,
C173,,Top-Outer,,,,上棟式たかり,,"Each time the ""House Building"" action space on the game board extension is used, you get all of the food from the ""Traveling Players"" accumulation space.",,,
C174,,Stone Custodian,,,,石材保管人,编辑中,"At the end of each work phase, if 1 stone accumulation space has stone left, you get 1 grain If 2 stone accumulation spaces have stone left, you get 1 vegetable instead.",,,
C175,,Village Teacher,,,,村の女性教師,,"Immediately after each time you use a ""Lessons"" action space, if this is the 1st/2nd/3rd occupied Lessons action space that round, you get 1 food/grain/vegetable.",,,
C176,,Cleanacre,,,,土地清掃人,,"Each time you use the ""Farmland"", ""Cultivation"", or ""Farming Supplies"" action (the latter only being available with 6 players), you also get 2 clay.",,,
C177,,Mountain Hiker,,,,山歩き,,"Immediately after each time you use an accumulation space on the game board extension, you can buy 1 stone for 1 food.",,,
C178,,On-Site Reverend,,,,建築牧師,,"At the start of each harvest, you get 1 building resource of your choice.",,,
C179,,Bovine Pioneer,,,,牛飼いの草分け,,Each time you create at least one new pasture from unfenced farmyard spaces you get 1 cattle.,,,
C180,,Trapper,,,,罠猟師,,"Each time after you use a wood accumulation space, if this is the 2nd/3rd/4th occupied wood accumulation space that round, you can buy 1 sheep/wild boar/cattle for 1 food.",,,
D169,,Plowsmith,,,,鋤打ち,,"Each time another player takes at least 4 wood from an accumulation space, you can immediately pay 1 food to plow 1 field.",,,
D170,,Fold Builder,,,,囲い柵作り,,"This card is an action space for all. It provides a ""Build Fences"" action and then 1 sheep. If another player uses it, they must first pay you 1 food.",,,
D171,,Senior Teacher,,,,上級教師,,"Each time another player pays food on a ""Lessons"" action space, you get exactly 1 of that food.",,,
D172,,Putcher Maker,,,,やな作り,,"At any time, you can exchange 1 reed for 2 food.",,,
D173,,Town Clerk,,,,街書記,,"Each time a major improvement is built, place 1 food on this card. Once this game, you can turn this card face down to get the food on it.",,,
D174,,Loess Gardener,,,,黄土の庭師,,"Each time you use the ""Clay Pit"" accumulation space, you can also buy 1 vegetable for 1 food.",,,
D175,,Countryman,,D,,田舎農夫,,"Each time any player (including you) takes a ""Renovation"" action on an action space, you can sow crops in exactly 1 field.",,"Countryman In bigger games the sow and bake bread space tends to be overcrowded, making
this guy's utility extremely unreliable. It's not like you should really be
giving your opponents an excuse to deny you a sow action. If for some reason
your opponents all inexplicably avoid growing crops, he can help save you an
action or two.",
D176,,Woodshacker,,,,森の住人,,"In the work phase of each round, the first and the second time you use a wood accumulation space, you also get 1 and 2 clay respectively.",,,
D177,,Graduate,,,,卒業生,,"When you play this card you immediately pay 1 food. If you do, you get 2 stone and 2 reed.",,,
D178,,Substitute Teacher,,,,代理教師,,"Each time all three ""Lessons"" action spaces are occupied, you can use this card with a person to get your choice of 1 building resource or 1 crop of each type.",,,
D179,,Bullcatcher,,,,雄牛捕り,,"When both action spaces on round spaces 3 and 6 are occupied, you can use this card with a person to get 1 cattle and 2 food.",,,
D180,,Part-Time Worker,,,,短時間労働者,,"Each time you use an accumulation space with exactly 2/4/6 goods on it, you can leave 1/2/3 goods on the space. If you do, you get 1 sheep/wild boar/cattle.",,,
A001,遮蔽所,Shelter,T3,,E,雨除け,拉栅后就是无成本1点卡。,"You can immediately build a stable at no cost, but only if you place it in a pasture covering exactly 1 farmyard space.",,,聊胜于无，复杂且收益低
A003,拆信刀,Paper Knife,T2,,C,ペーパーナイフ,连《农家乐》也到了能抽卡池的时代。需要精细步骤时不太好用，但如果是那种“有几张想在终盘前打出来的卡”的情况，这效果还不错。,"Select 3 occupations in your hand. Select one of them randomly, which you can play immediately without paying an occupation cost.",,,在一动卡里算是比较弱的那一档。毕竟三选一的条件太苛刻了。一动卡你最希望一动卡做的一件事是在你需要打一张次发的时候也次发可以打，而非在你一个固定的时刻打出它。这个是通常不值得的。这个你前期可能你生娃的时候时间很仓促，什么也准备不好，你这时候有一张卡可以打，这时候你打一张拆信刀，很可能就会随机到一张你并不想打的卡。所以他的综合收益是比较差的动。
A004,护壁板,Baseboards,T2,,,幅木,终盘SP→下回合栅栏、的动作很不错,"You immediately get 1 wood for each room you have. If you have more rooms than people, you get 1 additional wood.",,,
A006,储藏室,Storage Barn,T3,,,納屋,有“杂货店”等能大量获得石头的卡牌时，因为经常会拿取作为目标的大进步，所以更容易发挥作用。,"If you have the Well, Joinery, Pottery, and/or Basketmaker's Workshop, you immediately get 1 stone, 1 wood, 1 clay, and/or 1 reed, respectively.",,,
A007,菜农的割刀,Gardener's Knife,T3,,,園芸用ナイフ,只有小麦田的话效果不太理想，但如果也有蔬菜田就会大放异彩。,You immediately get 1 food for each grain field you have and 1 grain for each vegetable field you have.,,,
A008,食品篮子,Food Basket,T2,,,食材かご,在没有其他种子辅助时，能用1手就把两边都凑齐真让人高兴。,You immediately get 1 grain and 1 vegetable.,,,
A010,简陋木屋,Wooden Shed,T2,,E,板張りの小屋,扩建成本很优秀，但无论如何家点都会减少。若没有强力的盘外点，恐怕很难彻底拿下胜利。,"This card can only be played via a ""Major Improvement"" action. It provides room for one person. You may no longer renovate.",,,在大部分情况下，如果你房子少的话，你是希望拥有翻修的打卡行动的。如果你房子比较多的话，你是需要翻修的分数的。这张卡连上他本身少一个房子分，他的总亏损大概在三分左右。总收益是三个木头一个芦苇。如果在没有配合的卡组里是不赚的。但是在一些前期节奏比较紧张的卡组里面，简陋木屋可以为你提供就是相当于是一个前期行动。所以他算是价值一动的配件卡。
A011,泥巴地,Mud Patch,T2,,C,ぬかるんだ畑,即使只有1头野猪也有不错的效果。有2块田的话野猪会繁殖。用料理场吃的时候更容易发挥作用。,"When you play this card, you immediately get 1 wild boar. You can hold 1 wild boar on each of your unplanted field tiles.",,,泥巴地就是很简单，没什么好评的。猪和它的饲养空间加起来刚好一动。
A013,翻修公司,Renovation Company,T2,,,改築事業所,与石屋连招或砖房增筑搭配使用。和修理屋的连招可以一口气变成石屋,"When you play this card, you immediately get 3 clay. Immediately after, you can renovate without paying any building resources.",,,
A014,工匠的铁锤,Carpenter's Hammer,T1,,B,大工の金鎚,以8木2葦、7砖2葦、6石2葦增建2间。因为是成本减免效果，所以有木工或家具匠小屋的话会更便宜。每次增建2间凑到6间比较稳妥。,"Each time you build at least 2 wood/clay/stone rooms at once, you get a total discount of 2 reed as well as 2 wood/3 clay/4 stone.",,,"一个木头打出效果，然后换取4~6个资源。在做违建的时候，每花费一个行动，再额外送你4~6个资源。
强度：这一部分效果大概是价值两动的，可以认为是一个价值两动的稳健卡。这个效果实际上发生的情况比较少。因为4~6个资源净赚也就是三个资源，不到两到三个资源，这个收益量实际上是不值得做违建的。可以理解为他为每个房子提供一个资源，这就是他违建的全部收益了。所以大部分情况下它是一个两动的稳健卡。"
